"PopulationCode","IndividualCode","Species","Country","Locality","Latitude","Longitude","Elevation","Garden","soil_pH","Im_annual","Im_summer","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","PC_climate1","PC_climate2"
"ALA","QFagAlan01","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"ALA","QFagAlan02","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"ALA","QFagAlan03","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"ALA","QFagAlan04","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"ALA","QFagAlan05","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"ALA","QFagAlan06","Quercus faginea","Spain","Alanis",38.04015,-5.67355,677,"OE, GH",6.40000009536743,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,1.16011158782324,-2.67070269084919
"CUE","QFagCuen01","Quercus faginea","Spain","Cuenca",40.06702,-2.20115,917,"OE",7.5,-616.102625323954,-408.019810230151,12.3216037750244,12.22825050354,39.3096504211426,676.428588867188,30.5510005950928,-0.556500017642975,31.1075000762939,8.3677921295166,21.1142082214355,21.2469577789307,4.85308313369751,510,60,15,35.929256439209,167,66,71,152,4.03147136276067,0.276717359542062
"CUE","QFagCuen02","Quercus faginea","Spain","Cuenca",40.06702,-2.20115,917,"OE",7.5,-616.102625323954,-408.019810230151,12.3216037750244,12.22825050354,39.3096504211426,676.428588867188,30.5510005950928,-0.556500017642975,31.1075000762939,8.3677921295166,21.1142082214355,21.2469577789307,4.85308313369751,510,60,15,35.929256439209,167,66,71,152,4.03147136276067,0.276717359542062
"CUE","QFagCuen04","Quercus faginea","Spain","Cuenca",40.06702,-2.20115,917,"OE",7.5,-616.102625323954,-408.019810230151,12.3216037750244,12.22825050354,39.3096504211426,676.428588867188,30.5510005950928,-0.556500017642975,31.1075000762939,8.3677921295166,21.1142082214355,21.2469577789307,4.85308313369751,510,60,15,35.929256439209,167,66,71,152,4.03147136276067,0.276717359542062
"CUE","QFagCuen05","Quercus faginea","Spain","Cuenca",40.06702,-2.20115,917,"OE",7.5,-616.102625323954,-408.019810230151,12.3216037750244,12.22825050354,39.3096504211426,676.428588867188,30.5510005950928,-0.556500017642975,31.1075000762939,8.3677921295166,21.1142082214355,21.2469577789307,4.85308313369751,510,60,15,35.929256439209,167,66,71,152,4.03147136276067,0.276717359542062
