"Species","PopulationCode","Latitude","Longitude","soil_pH","Im_annual","Im_summer","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","PC_climate1","PC_climate2"
"Quercus faginea","ALA",38.04015,-5.67355,0.629999995231628,-619.032470325199,-491.611924140981,15.1069793701172,12.6997079849243,40.3546485900879,651.0244140625,33.6074981689453,2.13724994659424,31.4702491760254,8.65470886230469,23.5169162750244,23.611499786377,7.76320838928223,655,107,5,61.8461456298828,291,33,36,266,3.07438821914866,-0.997482158403384
"Quercus faginea","CUE",40.06702,-2.20115,0.758333325386047,-616.102625323954,-408.019810230151,12.3216037750244,12.22825050354,39.3096504211426,676.428588867188,30.5510005950928,-0.556500017642975,31.1075000762939,8.3677921295166,21.1142082214355,21.2469577789307,4.85308313369751,510,60,15,35.929256439209,167,66,71,152,0.0656709299710497,2.61391560552315
"Quercus faginea","BOS",36.7746,-5.53451,0.663333320617676,-526.837757929064,-446.035500814774,16.7149276733398,10.4749374389648,41.6800956726074,517.107116699219,31.0162506103516,5.88450002670288,25.1317501068115,11.8882503509521,23.1514587402344,23.6122093200684,10.8974580764771,670,115,1,71.6095199584961,318,17,23,295,3.25809316570442,-3.7538341688855
"Quercus faginea","ESP",39.91521,-0.36951,0.723333326975505,-705.799904775286,-356.777104776304,13.8217811584473,11.7574377059937,41.8213233947754,596.119018554688,29.5357494354248,1.42225003242493,28.1134986877441,14.6208753585815,7.89162492752075,21.5310001373291,7.14887475967407,424,56,19,31.2563743591309,136,77,93,88,-0.710266183354861,2.22644219547108
"Quercus faginea","LUJ",36.82401,-3.40702,0.680000019073486,-785.444096803952,-452.170852596673,16.2358531951904,11.2104301452637,41.5377082824707,564.447692871094,31.4794120788574,4.49084949493408,26.9885635375977,10.8388347625732,23.4746189117432,23.6534862518311,9.9503812789917,436,63,3,56.801944732666,181,24,25,169,3.48932887639538,-0.616548010279569
"Quercus faginea","MAC",41.51642,-6.95816,0.590000009536743,23.4261426258261,-312.269917419822,12.1352710723877,9.96150016784668,39.1349182128906,547.588073730469,26.6270008087158,1.1727499961853,25.4542503356934,6.77179193496704,19.1746253967285,19.2729587554932,5.9977502822876,1004,149,19,51.6388320922852,411,87,93,405,-3.46712228500785,-4.34796726729752
"Quercus faginea","PEN",40.03422,-8.37145,0.596666669845581,-149.574110925992,-368.129348282512,15.2574377059937,10.6349172592163,44.5674896240234,467.068450927734,28.6517505645752,4.78924989700317,23.8625011444092,9.7924165725708,21.0012512207031,21.2657508850098,9.7924165725708,969,137,14,52.5259552001953,391,74,74,391,-0.893969100827337,-5.49401466316848
"Quercus faginea","QUI",41.62061,-2.65374,0.703333330154419,-565.131186040567,-361.741804817196,10.3001880645752,11.6748332977295,39.5381774902344,637.194030761719,27.4812507629395,-2.04675006866455,29.5279998779297,11.9636669158936,18.5127086639404,18.5343761444092,3.10795831680298,452,55,21,26.4969100952148,144,74,88,120,-2.19067456494945,3.00710323664534
"Quercus faginea","RET",39.43268,-4.34608,0.718333315849304,-660.270980134733,-424.451900899227,13.5163545608521,11.1110830307007,36.5631484985352,681.551452636719,31.0712490081787,0.682500004768372,30.3887481689453,9.53125,22.3611259460449,22.435583114624,5.89195823669434,463,61,9,41.9766464233398,165,45,52,149,1.38505454897894,1.96490442400498
"Quercus faginea","SAL",40.87523,-5.82989,0.65,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,-1.05223615305024,0.220000924255816
