"id","sire","dam","sire_pop","dam_pop"
"1","1","1","ALA","ALA"
"2","2","1","ALA","ALA"
"3","3","1","ALA","ALA"
"4","4","1","ALA","ALA"
"5","5","2","ALA","ALA"
"6","6","2","ALA","ALA"
"7","7","2","ALA","ALA"
"8","8","3","ALA","ALA"
"9","9","4","ALA","ALA"
"10","10","4","ALA","ALA"
"11","11","4","ALA","ALA"
"12","12","5","ALA","ALA"
"13","13","5","ALA","ALA"
"14","14","5","ALA","ALA"
"15","15","5","ALA","ALA"
"16","16","5","ALA","ALA"
"17","17","5","ALA","ALA"
"18","18","6","ALA","ALA"
"19","19","6","ALA","ALA"
"20","20","6","ALA","ALA"
"21","21","6","ALA","ALA"
"22","22","6","ALA","ALA"
"23","23","6","ALA","ALA"
"24","24","7","BOS","BOS"
"25","25","7","BOS","BOS"
"26","26","7","BOS","BOS"
"27","27","8","BOS","BOS"
"28","28","8","BOS","BOS"
"29","29","8","BOS","BOS"
"30","30","8","BOS","BOS"
"31","31","8","BOS","BOS"
"32","32","9","BOS","BOS"
"33","33","9","BOS","BOS"
"34","34","9","BOS","BOS"
"35","35","9","BOS","BOS"
"36","36","9","BOS","BOS"
"37","37","9","BOS","BOS"
"38","38","10","BOS","BOS"
"39","39","10","BOS","BOS"
"40","40","10","BOS","BOS"
"41","41","10","BOS","BOS"
"42","42","11","BOS","BOS"
"43","43","11","BOS","BOS"
"44","44","11","BOS","BOS"
"45","45","11","BOS","BOS"
"46","46","12","BOS","BOS"
"47","47","12","BOS","BOS"
"48","48","12","BOS","BOS"
"49","49","12","BOS","BOS"
"50","50","13","CUE","CUE"
"51","51","13","CUE","CUE"
"52","52","13","CUE","CUE"
"53","53","13","CUE","CUE"
"54","54","13","CUE","CUE"
"55","55","13","CUE","CUE"
"56","56","14","CUE","CUE"
"57","57","14","CUE","CUE"
"58","58","14","CUE","CUE"
"59","59","14","CUE","CUE"
"60","60","14","CUE","CUE"
"61","61","15","CUE","CUE"
"62","62","15","CUE","CUE"
"63","63","15","CUE","CUE"
