"individual","Row","Column","trait","trait_id"
1,33,"G",NA,"Area"
2,22,"C",4.81189,"Area"
3,16,"F",NA,"Area"
4,36,"C",2.80559,"Area"
5,28,"H",6.09526,"Area"
6,3,"D",3.65505,"Area"
7,20,"F",NA,"Area"
8,30,"A",3.53254,"Area"
9,22,"F",5.08257,"Area"
10,29,"F",4.34809,"Area"
11,34,"D",4.80336,"Area"
12,2,"A",3.82845,"Area"
13,7,"F",4.73978,"Area"
14,10,"D",NA,"Area"
15,32,"C",4.33999,"Area"
16,35,"A",4.14221,"Area"
17,5,"C",3.1177,"Area"
18,35,"D",NA,"Area"
19,35,"E",2.68924,"Area"
20,11,"C",2.63677,"Area"
21,8,"F",2.79232,"Area"
22,34,"F",4.57691,"Area"
23,1,"D",3.11756,"Area"
24,5,"A",5.96579,"Area"
25,26,"D",6.55318,"Area"
26,30,"D",6.05519,"Area"
27,27,"B",NA,"Area"
28,15,"F",NA,"Area"
29,5,"G",8.99532,"Area"
30,36,"E",NA,"Area"
31,21,"H",3.6777,"Area"
32,23,"B",NA,"Area"
33,4,"F",5.14744,"Area"
34,30,"B",4.45978,"Area"
35,29,"E",4.15612,"Area"
36,23,"H",4.38651,"Area"
37,21,"G",4.06193,"Area"
38,11,"H",NA,"Area"
39,14,"D",3.79454,"Area"
40,1,"E",3.1124,"Area"
41,12,"D",4.03655,"Area"
42,4,"A",2.93548,"Area"
43,26,"B",2.76688,"Area"
44,13,"C",NA,"Area"
45,14,"G",4.67849,"Area"
46,NA,"D",3.3944,"Area"
47,17,"D",NA,"Area"
48,29,"C",5.38243,"Area"
49,1,"A",3.33777,"Area"
50,13,"D",2.84473,"Area"
51,9,"E",2.73548,"Area"
52,32,"G",1.67441,"Area"
53,5,"B",3.05591,"Area"
54,NA,"G",0.96767,"Area"
55,10,"G",NA,"Area"
56,28,"A",2.73548,"Area"
57,20,"H",2.7848,"Area"
58,32,"H",1.67441,"Area"
59,20,"A",3.05591,"Area"
60,20,"G",0.96767,"Area"
61,13,"F",3.01082,"Area"
62,35,"F",NA,"Area"
63,15,"E",NA,"Area"
64,11,"F",2.77225,"Area"
65,10,"A",2.63476,"Area"
66,31,"D",1.90129,"Area"
67,6,"E",2.22501,"Area"
68,18,"F",2.05433,"Area"
69,26,"A",NA,"Area"
70,2,"C",NA,"Area"
71,25,"A",NA,"Area"
72,31,"C",NA,"Area"
73,22,"A",6.49289,"Area"
74,8,"A",1.77369,"Area"
75,17,"G",NA,"Area"
76,35,"B",NA,"Area"
77,33,"A",NA,"Area"
78,11,"B",4.82221,"Area"
79,21,"E",3.50143,"Area"
