"id","sire","dam","sire_pop","dam_pop"
"1","1","PI_9","PI","PI"
"3","2","CA_7","CA","CA"
"4","3","PI_9","PI","PI"
"91","4","CA_7","CA","CA"
"94","5","OL_5","OL","OL"
"96","6","OL_5","OL","OL"
"159","7","PI_10","PI","PI"
"160","8","PI_10","PI","PI"
"294","9","PO_9","PO","PO"
"893","10","CA_7","CA","CA"
"1195","11","OL_4","OL","OL"
"1197","12","OL_4","OL","OL"
"1199","13","OL_4","OL","OL"
"1201","14","OL_3","OL","OL"
"1204","15","OL_3","OL","OL"
"1212","16","PI_10","PI","PI"
"1213","17","PI_10","PI","PI"
"1221","18","PI_6","PI","PI"
"1223","19","PI_6","PI","PI"
"1227","20","PI_6","PI","PI"
"1228","21","PI_6","PI","PI"
"1230","22","OL_3","OL","OL"
"1231","23","OL_3","OL","OL"
"1233","24","OL_3","OL","OL"
"1234","25","PI_8","PI","PI"
"1235","26","PI_8","PI","PI"
"1237","27","PI_8","PI","PI"
"1238","28","PI_8","PI","PI"
"1240","29","PO_3","PO","PO"
"1241","30","PO_3","PO","PO"
"1242","31","PO_3","PO","PO"
"1243","32","PO_3","PO","PO"
"1244","33","CA_10","CA","CA"
"1245","34","CA_10","CA","CA"
"1246","35","CA_10","CA","CA"
"1251","36","PI_9","PI","PI"
"1252","37","PI_9","PI","PI"
"1253","38","PI_9","PI","PI"
"1256","39","PO_5","PO","PO"
"1258","40","PO_5","PO","PO"
"1261","41","OL_2","OL","OL"
"1262","42","OL_2","OL","OL"
"1269","43","PI_13","PI","PI"
"1270","44","PI_13","PI","PI"
"1274","45","PO_10","PO","PO"
"1279","46","PI_7","PI","PI"
"1281","47","PI_7","PI","PI"
"1282","48","PI_7","PI","PI"
"1283","49","PI_7","PI","PI"
"1284","50","PI_7","PI","PI"
"1285","51","PI_14","PI","PI"
"1288","52","PI_14","PI","PI"
"1292","53","PI_4","PI","PI"
"1296","54","PI_4","PI","PI"
"1298","55","PI_4","PI","PI"
"1299","56","PI_4","PI","PI"
"1304","57","OL_6","OL","OL"
"1308","58","PI_1","PI","PI"
"1309","59","PI_1","PI","PI"
"1313","60","PI_3","PI","PI"
"1324","61","CA_3","CA","CA"
"1325","62","CA_3","CA","CA"
"1327","63","CA_3","CA","CA"
"1328","64","PE_2","PE","PE"
"1331","65","PE_2","PE","PE"
"1332","66","PO_5","PO","PO"
"1334","67","PO_5","PO","PO"
"1337","68","PI_12","PI","PI"
"1338","69","PI_12","PI","PI"
"1339","70","PO_5","PO","PO"
"1343","71","PO_5","PO","PO"
"1344","72","PI_1","PI","PI"
