"individual","Block","trait","trait_id"
1,4,0.10483871,"AGR.TreatD"
3,2,0.387096774,"AGR.TreatD"
4,2,0.096774194,"AGR.TreatD"
91,6,0.427419355,"AGR.TreatD"
94,2,0.056451613,"AGR.TreatD"
96,6,0.096774194,"AGR.TreatD"
159,6,0.572580645,"AGR.TreatD"
160,4,0.201612903,"AGR.TreatD"
294,4,0.120967742,"AGR.TreatD"
893,6,0.161290323,"AGR.TreatD"
1195,4,0.153225806,"AGR.TreatD"
1197,6,0.008064516,"AGR.TreatD"
1199,2,0.153225806,"AGR.TreatD"
1201,4,0.120967742,"AGR.TreatD"
1204,2,0.298387097,"AGR.TreatD"
1212,4,1,"AGR.TreatD"
1213,2,0.185483871,"AGR.TreatD"
1221,6,0.193548387,"AGR.TreatD"
1223,6,0.088709677,"AGR.TreatD"
1227,2,0.677419355,"AGR.TreatD"
1228,4,0.209677419,"AGR.TreatD"
1230,2,NA,"AGR.TreatD"
1231,4,NA,"AGR.TreatD"
1233,6,NA,"AGR.TreatD"
1234,6,0.225806452,"AGR.TreatD"
1235,4,0.193548387,"AGR.TreatD"
1237,2,0.338709677,"AGR.TreatD"
1238,2,0.427419355,"AGR.TreatD"
1240,4,0.620967742,"AGR.TreatD"
1241,4,0.201612903,"AGR.TreatD"
1242,2,NA,"AGR.TreatD"
1243,6,0.241935484,"AGR.TreatD"
1244,6,0.483870968,"AGR.TreatD"
1245,4,NA,"AGR.TreatD"
1246,2,0.306451613,"AGR.TreatD"
1251,6,0.241935484,"AGR.TreatD"
1252,6,0.177419355,"AGR.TreatD"
1253,2,0.193548387,"AGR.TreatD"
1256,6,0.072580645,"AGR.TreatD"
1258,4,0.161290323,"AGR.TreatD"
1261,2,0.153225806,"AGR.TreatD"
1262,6,0.419354839,"AGR.TreatD"
1269,6,NA,"AGR.TreatD"
1270,6,NA,"AGR.TreatD"
1274,6,0.064516129,"AGR.TreatD"
1279,2,NA,"AGR.TreatD"
1281,4,NA,"AGR.TreatD"
1282,6,0.096774194,"AGR.TreatD"
1283,2,NA,"AGR.TreatD"
1284,4,0.080645161,"AGR.TreatD"
1285,6,NA,"AGR.TreatD"
1288,6,NA,"AGR.TreatD"
1292,6,NA,"AGR.TreatD"
1296,2,0.10483871,"AGR.TreatD"
1298,4,0.072580645,"AGR.TreatD"
1299,4,NA,"AGR.TreatD"
1304,6,0.177419355,"AGR.TreatD"
1308,6,NA,"AGR.TreatD"
1309,2,0.072580645,"AGR.TreatD"
1313,4,0.661290323,"AGR.TreatD"
1324,4,0.241935484,"AGR.TreatD"
1325,4,0.096774194,"AGR.TreatD"
1327,6,0.161290323,"AGR.TreatD"
1328,2,0.387096774,"AGR.TreatD"
1331,6,0.169354839,"AGR.TreatD"
1332,6,0.032258065,"AGR.TreatD"
1334,6,0.233870968,"AGR.TreatD"
1337,4,NA,"AGR.TreatD"
1338,4,0.137096774,"AGR.TreatD"
1339,2,0.580645161,"AGR.TreatD"
1343,2,0.612903226,"AGR.TreatD"
1344,4,0.161290323,"AGR.TreatD"
1346,2,0.137096774,"AGR.TreatD"
1351,4,0.193548387,"AGR.TreatD"
1352,2,0.766129032,"AGR.TreatD"
1357,4,0.322580645,"AGR.TreatD"
1359,4,0.790322581,"AGR.TreatD"
1360,6,0.129032258,"AGR.TreatD"
1362,6,NA,"AGR.TreatD"
1363,2,0.274193548,"AGR.TreatD"
1364,2,0.129032258,"AGR.TreatD"
1365,4,0.266129032,"AGR.TreatD"
1366,6,0.225806452,"AGR.TreatD"
1370,4,0.169354839,"AGR.TreatD"
1376,2,0.14516129,"AGR.TreatD"
1377,2,0.080645161,"AGR.TreatD"
1379,4,0.14516129,"AGR.TreatD"
1380,2,0.177419355,"AGR.TreatD"
1381,4,0.040322581,"AGR.TreatD"
1382,6,0.677419355,"AGR.TreatD"
1383,2,0.177419355,"AGR.TreatD"
1384,6,0.193548387,"AGR.TreatD"
1385,2,0.524193548,"AGR.TreatD"
1386,4,0.137096774,"AGR.TreatD"
1387,6,0.120967742,"AGR.TreatD"
1389,4,0.137096774,"AGR.TreatD"
1392,2,0.064516129,"AGR.TreatD"
1393,2,0.306451613,"AGR.TreatD"
1395,4,0.169354839,"AGR.TreatD"
1397,6,0.35483871,"AGR.TreatD"
1399,4,0.233870968,"AGR.TreatD"
1400,2,0.322580645,"AGR.TreatD"
1401,2,0.080645161,"AGR.TreatD"
1408,6,NA,"AGR.TreatD"
1409,2,0.266129032,"AGR.TreatD"
1417,2,NA,"AGR.TreatD"
1418,4,0.120967742,"AGR.TreatD"
1419,2,0.225806452,"AGR.TreatD"
1423,4,0.258064516,"AGR.TreatD"
1424,4,0.10483871,"AGR.TreatD"
1429,2,0.443548387,"AGR.TreatD"
1430,2,0.379032258,"AGR.TreatD"
1433,6,0.209677419,"AGR.TreatD"
1434,4,0.330645161,"AGR.TreatD"
1435,2,0.266129032,"AGR.TreatD"
1436,4,0.096774194,"AGR.TreatD"
1438,4,0.467741935,"AGR.TreatD"
1439,6,0.298387097,"AGR.TreatD"
1441,4,0.14516129,"AGR.TreatD"
1442,2,0.846774194,"AGR.TreatD"
1446,2,0.669354839,"AGR.TreatD"
1447,4,0.088709677,"AGR.TreatD"
1448,2,0.185483871,"AGR.TreatD"
1449,6,0.040322581,"AGR.TreatD"
1450,6,0.306451613,"AGR.TreatD"
1452,4,0.508064516,"AGR.TreatD"
1454,6,0.330645161,"AGR.TreatD"
1455,2,0.370967742,"AGR.TreatD"
1456,6,0.056451613,"AGR.TreatD"
1459,6,0.056451613,"AGR.TreatD"
1461,4,0.056451613,"AGR.TreatD"
1463,6,0.10483871,"AGR.TreatD"
1464,6,0.370967742,"AGR.TreatD"
1466,4,0.25,"AGR.TreatD"
1467,4,NA,"AGR.TreatD"
1468,6,0.016129032,"AGR.TreatD"
1469,4,0.032258065,"AGR.TreatD"
1470,6,0.274193548,"AGR.TreatD"
1471,2,0.25,"AGR.TreatD"
1476,2,0.782258065,"AGR.TreatD"
1478,6,NA,"AGR.TreatD"
1480,4,0.177419355,"AGR.TreatD"
1481,6,0.169354839,"AGR.TreatD"
1482,4,0.233870968,"AGR.TreatD"
1483,4,NA,"AGR.TreatD"
1485,2,0.040322581,"AGR.TreatD"
1494,4,0.274193548,"AGR.TreatD"
1495,2,0.201612903,"AGR.TreatD"
1504,2,0.233870968,"AGR.TreatD"
1505,6,0.153225806,"AGR.TreatD"
1506,4,0.306451613,"AGR.TreatD"
1509,2,0.379032258,"AGR.TreatD"
1511,4,0.129032258,"AGR.TreatD"
1513,4,NA,"AGR.TreatD"
1514,2,0.129032258,"AGR.TreatD"
1517,4,0.266129032,"AGR.TreatD"
1519,6,0.306451613,"AGR.TreatD"
1521,6,0.080645161,"AGR.TreatD"
1525,4,0.201612903,"AGR.TreatD"
1529,6,0.14516129,"AGR.TreatD"
1530,2,0.161290323,"AGR.TreatD"
1531,2,0.427419355,"AGR.TreatD"
1533,2,0.161290323,"AGR.TreatD"
1534,4,0.161290323,"AGR.TreatD"
1540,2,0.201612903,"AGR.TreatD"
1541,2,0.782258065,"AGR.TreatD"
1544,6,0.524193548,"AGR.TreatD"
1548,2,0.233870968,"AGR.TreatD"
1549,6,0.10483871,"AGR.TreatD"
1550,6,0.056451613,"AGR.TreatD"
1563,6,0.129032258,"AGR.TreatD"
1564,2,0.25,"AGR.TreatD"
1566,6,0.024193548,"AGR.TreatD"
1567,4,NA,"AGR.TreatD"
1568,2,0.39516129,"AGR.TreatD"
1573,6,NA,"AGR.TreatD"
1618,6,0.185483871,"AGR.TreatD"
1619,4,0.443548387,"AGR.TreatD"
1621,2,0.217741935,"AGR.TreatD"
1622,4,0.266129032,"AGR.TreatD"
1662,4,0.266129032,"AGR.TreatD"
1666,4,0.161290323,"AGR.TreatD"
2,1,0.14516129,"AGR.TreatW"
5,3,0.266129032,"AGR.TreatW"
92,5,0.120967742,"AGR.TreatW"
93,5,0.233870968,"AGR.TreatW"
95,1,0.064516129,"AGR.TreatW"
97,5,0.153225806,"AGR.TreatW"
156,3,1.096774194,"AGR.TreatW"
157,5,1.975806452,"AGR.TreatW"
158,1,0.725806452,"AGR.TreatW"
293,1,0.064516129,"AGR.TreatW"
295,3,0.14516129,"AGR.TreatW"
1196,1,0.725806452,"AGR.TreatW"
1198,3,0.85483871,"AGR.TreatW"
1200,5,0.548387097,"AGR.TreatW"
1202,5,0.322580645,"AGR.TreatW"
1203,3,0.822580645,"AGR.TreatW"
1210,3,2.370967742,"AGR.TreatW"
1211,1,1.088709677,"AGR.TreatW"
1214,1,0.032258065,"AGR.TreatW"
1215,3,0.129032258,"AGR.TreatW"
1216,5,0.064516129,"AGR.TreatW"
1217,5,0.370967742,"AGR.TreatW"
1218,5,0.14516129,"AGR.TreatW"
1219,1,0.209677419,"AGR.TreatW"
