"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","PC1_beta_mean","PC1_beta_lo","PC1_beta_hi","PC1_p","PC2_beta_mean","PC2_beta_lo","PC2_beta_hi","PC2_p","n_divergent","max_rhat"
"lusitanica","GH","AGR.TreatD",157,5,0.329667650809562,0.420449759144929,-6.20790820091466,6.65279703103505,0.864625,0.0410784419102297,-0.0519604169149823,0.117559564375703,NA,0.0716864055553016,-0.0546923465557896,0.195447396087788,NA,53,1.03279631863914
"lusitanica","GH","AGR.TreatW",174,5,-0.95545701890118,-0.555615483791501,-6.88052903705276,2.63768756219987,0.794625,0.0671563592931429,-0.0209927507785523,0.158741751987268,NA,0.0541846689193645,-0.0776918826335676,0.1808038018375,NA,92,1.05723124419213
"lusitanica","GH","Area.TreatD",163,5,1.43209793859109,1.51369146698604,-5.45294163333134,8.1666057178319,0.584,0.0347450193050413,-0.0616971814055441,0.151186493160623,NA,-0.0527376742190678,-0.186488884504476,0.0750114415613775,NA,7,1.0071564998771
"lusitanica","GH","Area.TreatW",164,5,-0.0223494183608732,0.182689871950229,-6.35242445460235,5.54459608869861,0.937625,-0.0375713937924931,-0.13475288165556,0.0520230454150631,NA,-0.0553227551254918,-0.180989447402926,0.0754625287229326,NA,163,1.0242623624758
"lusitanica","GH","FvFm_prima.TreatD",137,5,0.892699009731427,1.06816205721299,-5.69468218165186,6.94593808074328,0.68,-0.00919956209932371,-0.156779723395639,0.0857757542782443,NA,-0.00978772230364416,-0.162751560047712,0.130024153521768,NA,1,1.02619669116259
"lusitanica","GH","FvFm_prima.TreatW",161,5,2.96446751098938,2.96671529944053,-3.77715869902506,9.64881832777056,0.302875,0.0140240858021517,-0.102606265011257,0.116075122779528,NA,0.00907170016780212,-0.122293456144829,0.126514233068768,NA,10,1.00123287531342
"lusitanica","GH","Gsarea.TreatD",170,5,2.40218576666574,2.42344343717293,-4.00996576822527,8.86619514429448,0.36075,-0.00941360201660028,-0.157448666828028,0.0896549640270617,NA,0.0102632715621166,-0.131740585114451,0.141444284950613,NA,12,1.00836600142302
"lusitanica","GH","Gsarea.TreatW",164,5,0.513004612815618,0.761000458558279,-5.82027052110463,5.78969244240546,0.752875,-0.00479008160685354,-0.135929205280933,0.0923617844859415,NA,-0.0100801192581011,-0.156551303863775,0.122246948085586,NA,29,1.01255061006916
"lusitanica","GH","Gsmass.TreatD",161,5,3.74535245231734,3.69653949865585,-2.77778822570508,10.225839982393,0.17475,-0.0283105727806343,-0.19413861861767,0.0824299059635106,NA,-0.0423404024071787,-0.189436636421361,0.0927460185938045,NA,5,1.00611381284789
"lusitanica","GH","Gsmass.TreatW",156,5,0.590604328484029,0.800794522880537,-5.65635949248604,6.05636874472122,0.72725,-0.018498532628036,-0.15218843303391,0.0799837350305702,NA,-0.0569516823302781,-0.211051482553892,0.0817544374889748,NA,76,1.01906942073603
"lusitanica","GH","NPQ.TreatD",137,5,0.932854128625458,1.11431443056673,-5.48148167553024,6.52185149268504,0.655125,0.0225973359081661,-0.0800289232854616,0.176423563162818,NA,-0.0215571949895237,-0.16558913958287,0.12833545437006,NA,33,1.02913350581286
