experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	102	0.970878109941606	0.199869877765531	0.004	0.048	0.0	2.22561588528414	0.10775	-2.23319819349476
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	104	0.932185036051339	0.486608658212167	0.005	0.716	0.002	1.74078024001128	0.6225	0.412907407101385
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	103	0.857076934444265	0.397926590478889	0.015	0.649	0.06125	1.12713300010847	0.8715	-0.136015890375669
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	120	0.920079039393542	0.554404352203093	0.003	0.502	0.00475	1.60483459543379	0.43825	0.572243136637946
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	132	0.962628912102292	0.315477994756481	0.005	0.283	0.0	2.3410945477286	0.49025	-0.631848322264332
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	167	0.939363634465315	0.472937982928969	0.002	0.581	0.00075	1.84359828797276	0.9795	-0.394623571599515
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	117	0.872776319102447	0.534107976584482	0.009	0.689	0.01825	1.40343656821596	0.90075	0.100860375622065
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	116	0.871991093866045	0.277859665438563	0.009	0.115	0.05875	1.08630538674569	0.3085	-1.30047183742114
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	105	0.938062808363146	0.517509873288897	0.002	0.818	0.00125	1.84681382725597	0.95125	0.0061311338277618
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	176	0.985554575712686	0.422554468886974	0.01	0.418	0.0	2.72797341064103	0.808	-0.412062242848015
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	170	0.95469507065098	0.748495117489455	0.001	0.053	0.00175	1.80469777415559	0.1155	1.09003865058516
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	111	0.862141999636283	0.684025603143254	0.015	0.197	0.00725	1.54182083605793	0.13525	1.01172814224905
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	100	0.941120854682518	0.431603204576461	0.003	0.978	0.00475	1.75614231309692	0.868	0.123993823420812
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	110	0.924022123204085	0.435184555109402	0.004	0.938	0.00175	1.66461401055568	0.9625	0.0461272132641648
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	119	0.927732663155018	0.328405882061263	0.009	0.303	0.0015	1.98936890699071	0.368	-0.88350641421991
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	1	0.93221709438099	0.402307279031277	0.002	0.7	0.0005	1.99593007004358	0.78225	0.206566653857969
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	10	0.935313906541231	0.649669406905158	0.001	0.49	0.002	1.76455514527431	0.11875	1.20032440426764
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	113	0.836408630043945	0.302846237571284	0.023	0.177	0.03075	1.25933011058472	0.3065	-1.43741622703419
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	106	0.978949045169206	0.546083844558342	0.0	0.494	0.00025	2.39954848956581	0.691	0.300103795684472
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	109	0.973185788315246	0.144647683995538	0.0	0.043	0.0	2.0713785889209	0.0485	-2.66319599879137
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	126	0.861270089685631	0.47816358404859	0.009	0.821	0.03325	1.26834669952551	0.713	0.278665572577634
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	12	0.955737126669134	0.260970281367784	0.0	0.069	0.00225	1.72211270192231	0.32275	-2.55199645871954
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	112	0.964223614405342	0.365313738504439	0.001	0.299	0.0	2.13888446217739	0.712	-0.72674114771831
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	115	0.931257378577066	0.555277989729932	0.003	0.775	0.0015	1.73730384165175	0.559	0.418482709328161
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	121	0.924648865777191	0.726979223287569	0.002	0.283	0.00125	1.78449571987357	0.21025	0.861842671602615
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	114	0.967460663358305	0.550343344632742	0.003	0.93	0.00025	2.15856321792201	0.4525	0.547625800414788
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	123	0.930172175810711	0.462592718395013	0.004	0.794	0.00575	1.61392729688548	0.9515	-0.0533863276495621
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	101	0.967726294968893	0.544816444690875	0.009	0.973	0.0	2.70999827200335	0.8025	0.170199862771383
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	107	0.863460442794167	0.381586445823601	0.012	0.339	0.023	1.2191395393535	0.873	-0.257707578581111
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	11	0.868697987087966	0.578111437934389	0.008	0.64	0.0095	1.5000030795989	0.202	0.933169533212647
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	108	0.950484300478429	0.358352647819657	0.002	0.182	0.0015	1.80258460133065	0.338	-1.7183020237811
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	133	0.867727856728974	0.390394125845899	0.018	0.356	0.02025	1.37892174692014	0.8765	-0.165970073674511
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	13	0.945730286762789	0.534230286767335	0.0	0.623	0.0015	1.71486806781378	0.6695	0.306038919118458
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	129	0.935886326512015	0.254558457462772	0.003	0.075	0.00075	1.89875425554536	0.05925	-3.27348578371129
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	130	0.943954701967025	0.513449242185406	0.002	0.678	0.002	1.66120979193637	0.69125	0.272713066652916
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	127	0.922880242846797	0.596355599431843	0.003	0.928	0.006	1.55926617442573	0.32125	0.775393856378722
