"scenario","QSTFST_AUC","MONET_AUC","Driftsel_AUC","graph_id","F1_number","graph_name"
"Island Model (F1=25)",0.78298693943198,0.795000823271059,0.772237908588304,1,25,"Island Model"
"Island Model (F1=50)",0.996881580255997,0.997928539422451,0.970010341261634,1,50,"Island Model"
"SS - Cline (F1=25)",0.803338,0.526678,0.500132,2,25,"SS - Cline"
"SS - Cline (F1=50)",0.974,0.995032,0.99581,2,50,"SS - Cline"
"SS - Sine (F1=25)",0.662392,0.995092,0.998114,3,25,"SS - Sine"
"SS - Sine (F1=50)",0.974,0.998,0.998,3,50,"SS - Sine"
"Hierarchical - Grouped (F1=25)",0.71562987755102,0.72909106122449,0.686960326530612,4,25,"Hierarchical - Grouped"
"Hierarchical - Grouped (F1=50)",0.992,1,0.986,4,50,"Hierarchical - Grouped"
"Hierarchical - Swapped (F1=25)",0.673831795918367,0.751998530612245,0.685144326530612,5,25,"Hierarchical - Swapped"
"Hierarchical - Swapped (F1=50)",0.99799,1,0.992,5,50,"Hierarchical - Swapped"
