"scenario","QSTFST_AUC","MONET_AUC","Driftsel_AUC","graph_id","sire_dam_design","graph_name"
"Island Model (3x3)",0.777870259008945,0.786641609884412,0.764366891443709,1,"3x3","Island Model"
"Island Model (1x9)",0.777870259008945,0.786641609884412,0.764366891443709,1,"1x9","Island Model"
"Island Model (5x5)",0.996881580255997,0.997928539422451,0.970010341261634,1,"5x5","Island Model"
"SS - Cline (3x3)",0.88949,0.66446,0.638494,2,"3x3","SS - Cline"
"SS - Cline (1x9)",NA,0.780582,0.758612,2,"1x9","SS - Cline"
"SS - Cline (5x5)",0.974,0.995032,0.99581,2,"5x5","SS - Cline"
"SS - Sine (3x3)",0.985414,0.954574,0.889814,3,"3x3","SS - Sine"
"SS - Sine (1x9)",NA,0.998034,0.999908,3,"1x9","SS - Sine"
"SS - Sine (5x5)",0.974,0.998,0.998,3,"5x5","SS - Sine"
"Hierarchical - Grouped (3x3)",0.677708722222222,0.701030666666667,0.646301333333333,4,"3x3","Hierarchical - Grouped"
"Hierarchical - Grouped (1x9)",0.677708722222222,0.701030666666667,0.646301333333333,4,"1x9","Hierarchical - Grouped"
"Hierarchical - Grouped (5x5)",0.992,1,0.986,4,"5x5","Hierarchical - Grouped"
"Hierarchical - Swapped (3x3)",0.645404333333333,0.718085611111111,0.645717944444444,5,"3x3","Hierarchical - Swapped"
"Hierarchical - Swapped (1x9)",0.645404333333333,0.718085611111111,0.645717944444444,5,"1x9","Hierarchical - Swapped"
"Hierarchical - Swapped (5x5)",0.99799,1,0.992,5,"5x5","Hierarchical - Swapped"
